ID,Group,Canon[1],Canon[2],Canon[3],Canon[4]
Aniakchak,Ash-Flow,-0.941873754,-0.887711315,0.086476444,-0.317942291
Apoyeque,Ash-Flow,-0.683381508,-0.809631847,0.391486153,0.624828799
Cerro,Ash-Flow,0.449097782,-2.817719324,-2.156196767,1.781385183
Chaiten,Ash-Flow,0.642269768,-0.155073755,-0.943105153,-1.878364357
Fisher,Ash-Flow,1.192612675,0.964953057,-2.165884099,-0.245082279
Incapillo,Ash-Flow,0.093786061,-0.151361639,1.753093599,0.011022116
Maninjau,Ash-Flow,2.885310553,-1.348691792,-0.129979388,-0.830024266
Segara,Ash-Flow,2.043409907,1.677196131,-0.102621079,0.396680479
Semisopochnoi,Ash-Flow,0.625193072,-0.79846871,0.423972386,1.657236596
Coatepeque,Ash-Flow,1.680820281,-0.924733724,-0.756176916,0.033109609
Crater_Lake,Ash-Flow,0.421140665,-0.703828433,0.226270585,-0.603823673
Novarupta,Ash-Flow,0.391734979,0.159914507,1.279127926,0.758858658
Valles,Ash-Flow,-1.212240397,0.394680475,0.979268525,0.981324172
Aira,Ash-Flow,-1.944386625,-1.47509375,0.528274475,5.245286518
Towada,Ash-Flow,-0.400742903,-0.762065624,-0.568300089,0.09277099
Akan_B,Ash-Flow,-0.411288122,-0.577593899,-2.024681462,-2.986714916
Mashu,Ash-Flow,0.342626806,0.057410595,1.322161738,0.829891664
Kutcharo,Ash-Flow,0.164357878,-1.440317739,-1.033233575,-0.787171952
Akan,Ash-Flow,2.314269829,-0.996322109,1.194735271,-0.447465505
Uzon,Ash-Flow,2.120852524,-0.440232673,1.14303983,-1.817326487
Krasheninnikov,Ash-Flow,-0.347631365,-1.394331858,-1.966836987,-0.856243178
Tien-Chi,Ash-Flow,-0.001260301,1.896263514,-1.33900942,-0.908204252
Long_Valley,Ash-Flow,1.234563572,-0.469921418,0.190815671,-1.029789562
Apoyo_B,Ash-Flow,0.035135484,0.876123649,0.595185352,-2.521974457
Diamante,Ash-Flow,0.422930364,-0.20744091,1.506139011,-0.409112178
Torfajokull,Ash-Flow,1.591153035,-0.248681101,0.133246975,-2.173022283
Old_YS_Caldera,Ash-Flow,0.866779792,0.031361823,-0.864640855,-0.894724246
Henrys_Fork,Ash-Flow,0.539507838,0.545450915,-0.700973744,-0.568867221
West_Thumb,Ash-Flow,1.894957337,-1.778344703,-1.96991906,-0.766190816
Yellowstone,Ash-Flow,0.975160064,-0.661126711,-0.14366217,0.555543178
Whakamaru,Ash-Flow,1.389329845,-0.641350736,-0.318966708,0.037744812
Maysaya,Ash-Flow,3.277048742,-1.904074226,0.548971139,2.36537546
Mangakino,Ash-Flow,1.836987998,-0.183408021,-0.612492561,-0.76328306
Taupo,Ash-Flow,2.891673977,-1.177722388,-1.818222362,-1.087991608
Reporoa,Ash-Flow,-1.613488227,-1.617761687,-2.504822827,3.057354583
Kapenga,Ash-Flow,2.210012554,-3.642642648,0.342569429,3.072569212
Rotorua,Ash-Flow,-0.023513595,-0.362023624,0.092934284,0.664851721
Ohakuri,Ash-Flow,0.746030018,-8.055602629,0.205259951,0.043166768
Cerro_Azul,Basaltic Shield,1.304610508,1.089530764,1.243240128,0.553120182
Fernandina,Basaltic Shield,-0.265853287,-0.258991582,0.740960231,0.516396528
Isla_Tortuga,Basaltic Shield,-0.817128646,0.288360905,-0.192409083,-1.563581173
Las_Canadas_Teide,Basaltic Shield,-0.345819334,-1.374454156,0.017900924,4.625938959
Mat'ala,Basaltic Shield,-0.428338522,0.872036357,0.58454558,0.77784907
Nyamuragira,Basaltic Shield,-0.939025823,0.012626058,-0.289248259,-0.400278271
Reunion,Basaltic Shield,0.681070064,-0.281368888,0.219452802,-0.167206216
Sierra_Negra,Basaltic Shield,0.318773085,-0.299354461,0.089312008,0.196612361
Volcan_Alcedo,Basaltic Shield,-0.315902845,-0.77276885,-0.093885212,0.062669462
Volcan_Darwin,Basaltic Shield,-0.172382348,-0.852115459,1.395685609,0.341536605
Volcan_Wolf,Basaltic Shield,0.604451174,0.166825291,0.728359287,0.097272365
Erta_Ale,Basaltic Shield,2.557787791,-0.916840284,-0.199384753,-0.865905949
Karthala,Basaltic Shield,1.121915339,-0.405914733,1.932359893,-0.148079994
Kilauea,Basaltic Shield,1.095471173,0.123269149,-0.62231686,-0.86480175
Silali,Basaltic Shield,0.168752705,0.76955506,1.470955145,0.142441786
Olmoti,Basaltic Shield,-1.65070737,-1.697698015,0.597185349,0.413417417
Ngurdoto,Basaltic Shield,-0.121088739,-0.660324793,-0.021716486,0.715692123
Emi_Koussi,Basaltic Shield,0.27173968,0.82714563,2.220585346,0.009094619
Embagai,Basaltic Shield,-0.230467168,-0.952114625,-1.067560892,0.673602789
Donguinyo,Basaltic Shield,-1.415989042,-0.281890163,0.312143363,0.697761322
Deriba,Basaltic Shield,-0.122860587,-0.868825632,-0.012659004,-1.9482488
Barrier,Basaltic Shield,0.08512459,-0.068530186,-0.072010213,0.244173282
Dolomieu,Basaltic Shield,0.45369804,-0.44016072,0.467585461,-0.324007652
Niuafo'ou,Basaltic Shield,-1.502919463,-0.533363498,1.132387777,1.108265102
Toya,Basaltic Shield,0.058180083,-1.175976374,2.001092866,2.345905044
Mauna_Loa,Basaltic Shield,1.481849886,0.609135624,0.958739529,-0.185000381
Volcan_Wolf_B,Basaltic Shield,-0.325525985,-0.021956017,0.898920274,0.037430242
Volcan_Darwin_B,Basaltic Shield,-0.743158746,-0.103715988,0.078753519,-0.800558771
Askja,Basaltic Shield,1.310210855,-0.449837812,1.247584927,0.208372902
Alcedo,Basaltic Shield,-0.746367856,-0.207292524,-0.007002471,0.328779304
Cerro_Azul,Basaltic Shield,-0.152017453,0.571776845,-0.871515263,-0.485645794
Ambrym,Basaltic Shield,-1.067107371,-0.886274845,-0.641955548,1.245104585
Aoba-Ambae-1,Basaltic Shield,2.030580569,-1.026909916,0.353299895,0.82079767
Aoba-Ambae-2,Basaltic Shield,0.942842969,0.574203285,0.56459602,0.527341038
Fantale,Basaltic Shield,1.690725479,-0.230119028,0.816979741,-0.715674941
Prometheus,Io Patera,1.578433886,1.110155482,-4.240091501,0.690513835
Grannos-nested,Io Patera,0.073496537,1.411668077,-0.108259299,-0.733221743
Grannos,Io Patera,0.429168418,0.439241909,-0.053087564,-0.857103064
Ababinili,Io Patera,1.921063583,1.30351216,2.642317113,1.777425452
Ruaumoko,Io Patera,-0.473323258,0.121232067,0.251639834,-0.964006922
Steropes,Io Patera,1.620459044,-0.843446229,-1.229040254,-0.366175811
Steropes-nested,Io Patera,1.259571909,0.428633229,-0.182573324,-1.018487019
Camaxtli,Io Patera,0.951523476,-0.685432638,0.880783979,0.490275488
Unnamed-8_46--139_35,Io Patera,2.520457733,0.187513575,-2.120420486,3.452115209
Tien-Mu,Io Patera,0.811228961,-2.022969935,-0.898971908,-0.384004725
Yaw,Io Patera,1.996496909,1.911180007,0.764558189,0.786775013
Tupan,Io Patera,1.141686903,-0.394295724,0.148434423,-0.278992399
Unnamed-18_45--117_41,Io Patera,2.228301521,0.158147682,-1.750760661,0.884335237
Gish_Bar,Io Patera,-2.650566695,3.404616636,-1.778222644,1.428014642
Horus-A,Io Patera,1.837690785,0.093175604,0.51228125,-0.884729409
Horus-B,Io Patera,3.103886929,-2.165376109,0.383616506,-1.04849382
Horus-C,Io Patera,1.314476819,0.540377308,1.526470792,-0.933288339
Kava-A,Io Patera,-1.450952556,-0.007100045,0.412732318,0.616778874
Kava-B,Io Patera,0.336829853,-1.357670686,-0.143198079,-0.793490249
Huo_Shen-A,Io Patera,1.500972918,0.486784681,-0.386225563,0.260947233
Huo_Shen-B,Io Patera,2.749956577,7.025244737,0.411359595,1.030039194
Huo_Shen-C,Io Patera,-0.103622373,1.037806944,1.49650181,1.357464625
Unnamed--20_40-27_83,Io Patera,0.818956032,0.795747241,1.071872444,0.863588641
Unnamed--31_17-27_92,Io Patera,1.392058331,0.51898245,0.031247966,0.512783517
Unnamed--40_82-34_43,Io Patera,1.355382661,-0.091889995,0.432780752,0.233886282
Maasaw,Io Patera,1.264550598,-0.192460113,-0.722726279,-0.83400591
Maasaw-nested,Io Patera,2.449675465,-2.358070568,1.416892149,-3.819864393
Unnamed-48_74--156_27,Io Patera,1.141087533,0.72326185,0.894728761,-0.763216473
Unnamed-0_35-20_14,Io Patera,1.117988979,-2.559024708,-0.953036398,2.725012207
Unnamed-19_39-25_89,Io Patera,3.375297375,1.24366528,-1.506544078,1.050196783
Unnamed-48_06-57_59,Io Patera,1.126838626,1.08950955,0.58879446,-1.390081151
Khalla,Io Patera,1.303275479,0.124114447,0.032761974,-0.247377668
Kibero,Io Patera,-0.964312464,-1.030143381,0.977583852,2.18693454
Podja,Io Patera,-1.700257212,0.170145334,-0.201121478,-0.087389971
Ninurta,Io Patera,1.403175766,1.415894884,-0.830445009,-0.289757445
Sengen,Io Patera,-0.487681966,0.575385699,0.044193923,0.191748228
Unnamed--28_33-34_65,Io Patera,3.048179697,0.566366142,2.302159941,-3.709091645
Unnamed--12_66-63_27,Io Patera,-0.191894876,1.048304175,0.942866205,0.485664152
Unnamed-6_76-83_31,Io Patera,-0.47884799,0.813196765,-0.928762844,-0.069813562
Unnamed-25_25-78_83,Io Patera,-0.663597371,0.518657893,0.362387248,0.389924974
Daedalus,Io Patera,1.149645482,-0.656064051,0.250284989,-0.177616059
Unnamed-16_01--78_46,Io Patera,-1.206205512,0.216083892,-0.022171116,-0.523654282
Atar,Io Patera,-1.377957353,0.202739013,-0.215556268,-0.321323454
Unnamed-40_32-73_03,Io Patera,-0.056432094,-1.081612615,-0.466475628,-1.152228895
Unnamed--37_98-105_86,Io Patera,1.138166102,-0.045367778,0.046614896,-1.237007988
Unnamed--26_42--115_92,Io Patera,0.942105006,0.092186225,0.984069532,0.512283353
Mafuike,Io Patera,2.512040231,-0.972409629,-0.693143307,-1.322436307
Mafuike-lower,Io Patera,0.52132559,-0.488156197,-0.203932052,-0.587120058
Pillan,Io Patera,0.418139363,0.955870307,-0.507956295,-0.161512283
Unnamed-12_06-99_42,Io Patera,1.517040715,-0.039731744,0.130532053,-0.857878727
Llew,Io Patera,0.209276184,-0.809613307,0.893613545,0.531890553
Unnamed--15_32-128_80,Io Patera,0.904499222,0.15095822,0.610881782,-0.348618571
Unnamed--62_58-163_03,Io Patera,-0.375583789,-0.400641181,0.228019591,0.017337644
